tweet,sentimiento,polaridad_dominante
"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",0.0,Neutral
100 % recomendado la vdd,0.0,Neutral
Para ver si eres fit y viable para seguros de vida! XD,0.8087,Positiva
"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",0.0,Neutral
😒 Gracias 😊,0.0,Neutral
Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),-0.296,Negativa
hola ocupo ayuda con el cambio de número de celular y con mi token,0.0,Neutral
"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",-0.296,Negativa
"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",0.0,Neutral
"Pues más vale, la verdad",0.0,Neutral
Ya está todo listo..,0.0,Neutral
Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,0.0,Neutral
Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,0.0516,Positiva
"Gracias por la respuesta, estaré al pendiente",0.0,Neutral
Hola buenas tardes,0.0,Neutral
"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",-0.3595,Negativa
Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,0.0,Neutral
Hola!!!,0.0,Neutral
Saludos a,0.0,Neutral
"real esa tarjeta es la neta, en general el banco es 10/10",0.0,Neutral
":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻",-0.1027,Negativa
como puedo inveir con ustedes y como se genera las ganancias para uno,0.0,Neutral
Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,0.0,Neutral
.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado,-0.128,Negativa
"Hola buen día, Al solicitar una tarjeta con diseño nuevo tengo que utilizarla?Recién esta por llegarme la metálica, sin embargo me atraen mucho los diseños como coleccionable… y no quisiera pedir una y perder la metal🤔",-0.7003,Negativa
"Gracias, hasta ahorita los amo 💙",0.0,Neutral
Gracias bro,0.0,Neutral
"Gracias, ya lo envié.",0.0,Neutral
"Gracias por responder, quedo en espera de la solución al problema.",0.0,Neutral
yo hice varias transferencias hace rato y todo bien,0.0,Neutral
A veces sólo es cuestión de limpiar el chip antes de pasarla! Así he solucionado el inconveniente,0.0,Neutral
Estoy muy contesta de compairles esta colaboración que hice con Hey Banco,0.0,Neutral
"Ah ya, gracias, mencionas lo evidente sin nada de relevancia, excelente comentario.",-0.5574,Negativa
“Agradecemos tu comprensión” jaja increíble,0.0,Neutral
Es correcto. De BBVA a BBVA sin problemas. Ya en Hey avisaron que hasta las 7 aproximadamente.,-0.5574,Negativa
Gracias ya les respondí,0.0,Neutral
Listo!! Gracias,0.0,Neutral
Perfecto! Gracias ☺️,0.3802,Positiva
Pero que tremenda sabiduría 👏 me quede anonadado con este mensaje yo creía que la cantidad que ponía de garantía se utilizaba para los niños sin alimento o para los indigentes y que con eso ya después te entregaban una tarjeta de crédito 💳 😱 que tremenda explicación,-0.5574,Negativa
Esta padrisima la tarjeta!!,0.0,Neutral
"Está muy bonito, me hace considerar adquirir la tarjeta",0.0,Neutral
Gracias. Ya le mande todos mis datos de mi tarjeta.,0.0,Neutral
"Sí, sin problema:D",-0.5574,Negativa
"No es problema de ,es ellos son los que tienen la falla. Dalay.",-0.296,Negativa
"Pf…. Sigues con Intermitencias… y solo Hey Banco, BBVA sin problema.",-0.5574,Negativa
"La primera no había sido la de chichen itza ?Estoy esperando esa, pero este modelo está bonito también.",-0.296,Negativa
"Tengo BBVA y Bancoppel, las dos trabajan a la perfección.",0.0,Neutral
Entiendo le agradezco el comentario y como sugerencia me gustaría recibir una notificación correo o texto de que el servicio no estará disponible para no caer en esta situación ya que me sirve de mucha utilidad la tarjeta y me gustaría seguir con ustedes.,-0.5267,Negativa
Que bien! 👍🏼,0.0,Neutral
"Me siento poderosa !!! Gracias , estoy muy contenta !!!!🐝✨👑",0.0,Neutral
Esta bien,0.0,Neutral
"Yo la tengo y es una maravilla, Servicio eficiente y la app de primera. ¡¡¡Altamente recomendable!!!!!",0.0,Neutral
"Ay no, yo ya tengo la mia y ese diseño esta super cool !!!",0.5684,Positiva
"Animense, ya casi un año con la tarjeta de credito heygarantizada y sin problemas, incluyendo en el extranjero",-0.5574,Negativa
"Gracias, según recuerdo esto ya lo había hecho el día que la fuí a activar pero volveré a hacerlo tanto para la TDD cómo la TDC, gracias:)",0.0,Neutral
Mucho exito! heybanco,0.0,Neutral
. recomendadísimas 👌(pd. YoTePresto y 100Ladrillos HechoEnJalisco),0.0,Neutral
"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria",0.0,Neutral
¡Manifiesto!✨️ Hoy fui y salí enmoradísima. Me subí y así casi que me voy a dar una vuelta ¡Hermosisimo el carro! ¡Háganme la buena!❤️‍🔥🙏💕,0.0,Neutral
"Se resolvió con la actualización de la app, gracias. También me sirvió el DM 👌🏼",0.0,Neutral
Ustedes son mi banco y la verdad lo estan haciendo muy bien!,0.0,Neutral
Definitivamente👆🏽,0.0,Neutral
Gracias por secuestrar la plata en Ahorro 🤦‍♂️Bitcoin fixes this... literalmente eso me salva 🙄,0.0,Neutral
Gracias la transferencia fue aplicada al día siguiente,0.0,Neutral
"Gracias, ya lo resolví jajaja, me equivoqué",0.0,Neutral
Quedó aclarado el tema. Gracias.,0.0,Neutral
Bank run!!!,0.0,Neutral
Les respondí por privado. Saludos!,0.0,Neutral
eso es bueno saberlo,0.0,Neutral
Gracias por la información 🙏,0.0,Neutral
Listo!!!,0.0,Neutral
"Así te da la bienvenida a tu tarjeta de Metal, aún sin beneficios adicionales 🫠",-0.5574,Negativa
"Se cayó la app de todo ha sido una buena experiencia con ustedes, no me fallen cuando se les necesita",-0.3182,Negativa
La verdad es menos tedioso el proceso de hablar con alguien en me agrada mucho la experiencia.,0.0,Neutral
"Gracias, ya les contesté",0.0,Neutral
ayuda!!!,0.0,Neutral
"Si gracias, les volví a contestar hace un par de horas",0.0,Neutral
"Fue más rápido marcar, tuve que hacer una caa de hechos en donde ponía los datos que quería cambiar y ya lo hicieron, por fin pude instalar el Token. el chico que me atendió súper bueno y amable! Se llama Christhian Hernández ❤️",0.0,Neutral
"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥",0.0,Neutral
"Yeah, son los mejores a pesar del veto",0.296,Positiva
"solucionado, muchas gracias 🫶🏼",0.0,Neutral
Ya se puede,0.0,Neutral
Gracias :),0.4588,Positiva
"Me siguen hablando en horario laboral.El que su personal de DHL descuide su trabajo, no significa que yo tenga que descuidar el mío.Si me van a hablar, que sea después de las 15 hrs o 3 pm.Agradezco que ésta vez si lean mi horario y me hablen cuando puedo atender el teléfono.",-0.296,Negativa
Exacto puntos lealtad que solo se cambian en su tiendaPor lo menos en Santander si tienda tenía tecnología y aículos para el hogar Mejor que lo cambien por más cashback,0.0,Neutral
Verdaderamente el mejor banco que hay 💖✨ los tqm mucho 🤠,0.0,Neutral
"Bueno, es que yo si pude ya.",0.0,Neutral
Excelente!!,0.0,Neutral
Muy bien excelente,0.0,Neutral
"Me gane un mes de Spotify y no soy usuario 😄, mejor que me cambien mi tarjeta, me gusta más la blanca del negocio. 😁",-0.296,Negativa
es excelente! Yo eh trabajo varios años con ellos y todo perfecto,0.3802,Positiva
Super! Ojalá que esto pueda ser corregido en la app entonces. Apareció así hace unos días de repente. Gracias!Cc.,0.6688,Positiva
Wooow que emoción,0.0,Neutral
🥳 Nunca me gano nada.Pero hoy empeze bien mi día 👍🏻,0.0,Neutral
Exito🏳️‍🌈🏳️‍🌈,0.0,Neutral
"Ya les contesté, gracias",0.0,Neutral
Listos !!!!!!!!,0.0,Neutral
"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos fintech mexicano",-0.3595,Negativa
"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses.",0.0516,Positiva
Wwwooowww que maravilla felicidades y por supuesto que ahí estaré para disfrutar de mi Chica Dorada,0.0,Neutral
En verdad les agradezco ya que no tengo la tarjeta de débito y la necesito,-0.296,Negativa
Muchas gracias por la información ahí nos vemos el 3 de Junio,0.0,Neutral
Pues bueno... xd,0.5859,Positiva
Es una DJ increíble,0.0,Neutral
Muchas graciasQuedo en esperaSaludos.,0.0,Neutral
Un festival 100% tercermundista. ¡Felicidades!,0.5411,Positiva
La Supermana hermosa 💕,0.0,Neutral
Gracias por el seguimiento!,0.0,Neutral
mi primera tdc 💳💓 thx,0.3612,Positiva
Gracias por su respuesta,0.0,Neutral
"Gracias, espero su pronta respuesta de agradecimiento",0.0,Neutral
Estoy sorprendido como permite que se organicen esas cosas. 🤮,0.0,Neutral
"Gracias, como siempre super buena y rápida, la atención de su pae.",0.5994,Positiva
Muchas gracias :),0.4588,Positiva
"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos.",-0.296,Negativa
Hey ya no nos hagan sufrir más a los de la dinámica de tikitoki jajaja 😭💖,-0.296,Negativa
Que tal buen dia. Necesito ayuda.,0.0,Neutral
"Excelente servicio en atención a clientes 🫶🏻, nunca cambien! ❤️",0.0,Neutral
OJITO ahí con las dinámicas de el día de hoy gane una dinámica para un abono del pal noe en donde me etiqueta…,0.0,Neutral
Saludos bro. Gracias por ver los vídeos.,0.0,Neutral
"Gracias, tocayo. Soy tu fan. ;)",0.4939,Positiva
¡Hola! Permíteme conocer más de tu caso vía mensaje privado para poder dae la atención necesaria y rápida. ¡Saludos!,0.0,Neutral
o fácil,0.0,Neutral
"Hola! Ntp después de otros intentos me pudieron asistir, gracias!",0.0,Neutral
Si la anualidad es de $999. Si juntas $100k estas libre de la anualidad. Mucho mejor que ese pedazo de metal VISA Standard,0.0,Neutral
"exacto, todas son duales",0.0,Neutral
Por eso Fondeadora Metal es World Elite;),0.0,Neutral
"Gracias a Dios, JAJAJA.",0.0,Neutral
igual a mi con amazon.,0.1779,Positiva
This is the oppounity of a lifetime! Gotta watch this web3 developer's MEV strategy video and learn how to make some serious cash with crypto.,-0.1511,Negativa
"Ese hombre merece que le mandes además de tan grata felicitación una foto especial, única y sin censura autografiada x la Diosa de TW.",-0.5574,Negativa
Que Dios le pague con muchos hijos.,0.0,Neutral
Mándamela a mi!! Yo se la hago llegar !! Jajaja. Chido que te resolvió !,0.5216,Positiva
Le mando un beso tronado y apretón de nalga a Ángel Argüello de que en dos horas me resolvió un asunto que llevaba 59 días estancado. Agradecida con el de abajo 🥺,0.0,Neutral
"No te había dicho que conozco a Angel, pero es muy tímido, si gustas yo le hago llegar el presente",0.0,Neutral
"Gracias, ya recibí el código 👍",0.0,Neutral
Ser agradecida. Y si es con el de abajo mejor...,0.0,Neutral
"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden",-0.5574,Negativa
Jajaja muy bien!,0.0,Neutral
Amigues por primera vez en mi vida gane una dinámica JAJAJAJAJA Gracias no gane el pastel pero si esta dinámica ✨,-0.296,Negativa
Teniendo tantas juntas de Cashback y viendo los beneficios me dan ganas de sacar mis tarjetas de &amp;,0.0,Neutral
"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio…",-0.5574,Negativa
"Gracias, supongo que es así por semana santa, correcto? Saludos!",0.0,Neutral
"Gracias, estaré pendiente a qué me responda",0.0,Neutral
"Es que hay un secreto para que te contesten rápido, te lo cuento cuando estemos bebiendo y no, ojalá me paguen, me resuelven súper rápido.",-0.296,Negativa
Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!,0.0,Neutral
Gracias a Tamos readys en PalNoe 🦁,0.0,Neutral
"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️",0.0,Neutral
"Habla al número que está en la tarjeta, yo lo hice así y no tuve ningún problema en españa ;)",-0.0772,Negativa
This web3 developer's MEV strategy is a game-changer. He's making over 5 ETH per week and you need to learn how!,0.0,Neutral
"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada",-0.5267,Negativa
Ya resolví gracias,0.0,Neutral
Gracias por darnos agüita en para no morir de disentería por el agua puerca de los bebedores de 🤢,-0.296,Negativa
Buenas tardes,0.0,Neutral
"¿Adivinen dónde estoy?¡Que buena experiencia, !",0.0,Neutral
"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech",0.0,Neutral
"4/ La gran ventaja de es su experiencia de 5 años en el mercado, ganando terreno entre los jóvenes por sus servicios y por patrocinar festivales de música, lo que les permite crecer junto con sus clientes.",0.0,Neutral
Gracias les volví a contestar el dm,0.0,Neutral
"Gracias hey banco, solucionaron el problema.",0.0,Neutral
Muchísimas gracias,0.0,Neutral
Muchas gracias por su respuesta tan pronta.,0.0,Neutral
"gracias por la pronta devolución, me sirvio para pagarle a",0.0,Neutral
Muchas gracias mando DM a la brevedad,0.0,Neutral
No má gracias tío estuvo fantástico este descuento del 50% en mi checkup en,-0.296,Negativa
"Super, gracias.",0.5994,Positiva
"Correcto, esperaré el contacto por pae de ustedes para arreglar la situación de mi inversión hey pro al 10%",0.0,Neutral
muchas gracias,0.0,Neutral
"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂",-0.4019,Negativa
Muchas gracias. Voy a comunicarme entonces.,0.0,Neutral
"Están en proceso de resolver según mensajes que me están enviando los de hey banco, saludos.",0.1779,Positiva
Ya me llego gracias,0.0,Neutral
"Un gusto saludae Erich, ponemos a tu disposición nuestra cuenta de correo electrónico en la que con gusto atenderemos tus dudas, escríbenos: asesoria@condusef.gob.mx , recuerda que CONDUSEF te apoya.",0.0,Neutral
el mejor banco &lt;3,0.0,Neutral
"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco",0.0,Neutral
Es la mejor que he visto hasta ahora,0.0,Neutral
Excelente muchas gracias,0.0,Neutral
muchas gracias por su respuesta!,0.0,Neutral
"Llamar para pelear a me resta tiempo, kilos, neuronas, prácticamente me resta vida ese banco pitero.",0.0,Neutral
"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏",0.4019,Positiva
Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼,0.0,Neutral
tienen algún tiempo estimado de respuesta,0.0,Neutral
"Conociendo la contraseña y el usuario, se puede entrar fácilmente desde otro dispositivo y sin que te llegue algún tipo de notificación por vía SMS y correo electrónico, esto lo sabes muy bien",-0.5574,Negativa
Eso explica todo,0.0,Neutral
"Hola si, hoy por la mañana ya tenía de nuevo mi usuario y funcionó con normalidad mi app",0.0,Neutral
¡CON RAZÓN!,0.0,Neutral
"Yo tengo la de garantía 😸, pero creo que voy bien, hasta cuántos meses se puede la de las normales, tengo inversión, nómina y cuenta de débitos ahi :)",0.4588,Positiva
Que bueno que no cambie mi nómina a,-0.296,Negativa
Gracias por avisar,0.0,Neutral
"Buen día, les envié un mensaje, espero me puedan ayudar. Gracias.",0.0,Neutral
"Buenos días, una vez más sigo en espera",0.0,Neutral
Gracias ya quedó resuelto,0.0,Neutral
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉👉🏼https://t.co/b6iYPqXW4F,0.0,Neutral
solicito apoyo,0.0,Neutral
Qué tengas excelente mitad de semana.🔥🤔Para quienes aún tienen duda de cómo funciona la tarjeta Garantizada de 😉…,0.0,Neutral
Ya quedó. Muchas gracias.,0.0,Neutral
Tqm ❤️❤️,0.0,Neutral
"Ok, gracias",0.296,Positiva
Jajaja. Siii. Muchos días. 😒 chale,0.0,Neutral
Todo resuelto Gracias equipo,0.0,Neutral
"Agradecido con que me ayudaron con una aclaración rapidísimo, cada día más feliz de haber dejado la banca tradicional por ustedes! 🙌",0.0,Neutral
Muchas gracias 🫶,0.0,Neutral
Hola buen día,0.0,Neutral
"Listo, enviado! Saludos",0.0,Neutral
Me gusta heybanco para bajarles el mandado a los bancos españoles que dominan este país,0.0,Neutral
yo presumiendo el 10% anual de HeyBanco y que Klar decide sacar 14%… muy tentador,0.0,Neutral
YA RESUELVEME ME URGE HACER UNA COMPRA,0.0,Neutral
"Recomiendo ampliamente que usen y como alternativas a los llamados bancos tradicionales. Si sus bancos les están cobrando alguna comisión de cualquier tipo en sus cuentas de débito o peor aún, no están generando nada, entonces están en el lugar incorrecto.",-0.296,Negativa
Gracias. Saludos,0.0,Neutral
"Si, bueno me dijeron que tenía que marcar. Y si quedo.",0.0,Neutral
Ay si pasó ya afounadamente. Jejeje.,0.0,Neutral
Gracias! Ya les respondi!,0.0,Neutral
Jaja nel,0.0,Neutral
"Okay, Gracias",0.2263,Positiva
Ya funcionó nuevamente la aplicación,0.0,Neutral
"Me contestan a mi también, pero ya",0.0,Neutral
"Listo, ya se los mandé , gracias .",0.0,Neutral
Con Hey siempre tienes el control de tus finanzas y ahora también el de todos tus movimientos gracias a las notificaciones qu…,0.0,Neutral
