Palabra,Tweet
gracias,Gracias Gracias venta tempranera 🤍 Tqm
gracias,¡Muchas gracias por tu confianza! 😀🤲 ¡Estamos felices de que formes pae de la familia Klar! 🥰🤩 ¡TE QUEREMOS!❤️
gracias,"Gracias, sigan con esas propuestas tan inovadoras que seguramente atraerán millones de clientes y marcarán un antes y un después de la banca en México. De seguro las felicitaciones no paran por eso hasta bloquearon sus redes sociales. Son unos genios! No se cansan de ganar tanto?"
gracias,Ya cayó la actualización gracias
gracias,Antes que nada bienvenido a Ualá. Gracias por el feedback. Es muy constructivo. Varios de esos temas se resuelven en los próximos updates. Mudarse a una arquitectura 100% bancaria no ha sido fácil y eso afecta cieos procesos. Ya viene lo mejor. Gracias desde ya.
gracias,"Gracias ya pude comunicarme y creo si se solucionó mi problema, gracias 🙌"
gracias,Muchas gracias 🥰
gracias,Dale gracias a
gracias,¡Muchas gracias por tu confianza! 😀 🤲 ¡Estamos felices de que formes pae de la familia Klar! 🥰 🤩
gracias,Ya están todos mis ahorros contigo! gracias
gracias,"Gracias, como siempre super atentos y efectividad en resolver dudas."
gracias,Gracias por la respuesta ya conteste por DM saludos
gracias,"Gracias, novio, un saludo hasta allá."
gracias,Gracias Mandiii
gracias,Muy amables muchas gracias.
gracias,"Listo, lo hice en la madrugada, gracias!!"
gracias,Gracias 👍
gracias,Gracias carnal.
gracias,Gracias nos escuchaste y por eso seguiré contigo 🫶🤗
gracias,"Gracias por la respuesta, estare atento saludos tio"
gracias,Gracias 🙏 😍👌⁦@soynumx⁩ ⁦@nubank⁩ espero sirva de aprendizaje a las demás plataformas si quieren nuestro dinero como inversionistas. Fyi ⁦@dinnactinver⁩ ⁦@heybanco⁩ ⁦@uala⁩ ⁦@uala_mex⁩ ⁦@MercadoPagoMex⁩ ⁦@FinsusApp⁩
gracias,"Excelente, gracias por la información."
gracias,Gracias ayer me atendieron rápido por llamada ya quedo resuelto
gracias,Va gracias les mande dm
gracias,Gracias
gracias,Ya llame y ya me ayudaron gracias
gracias,"Quedó solucionado el fin de semana, gracias"
gracias,Listo ya quedó muchas gracias.
gracias,¡Celebramos 6 años en Hey Banco! 🎉 Gracias por confiar en nosotros en este viaje; tu apoyo ha sido fundamental para nuestro…
gracias,"Buen día, envié correo justo ahora. Gracias."
gracias,Dinero deberían darme los de pero gracias por un año de servicios.
gracias,"Muchísimas gracias! se comprometió a resolver el problema con fecha límite al 25 de enero de 2024, de no ser así enseguida me pondré en contacto con"
gracias,Muchas gracias
gracias,"Listo, gracias."
gracias,Gracias
gracias,por favor de su apoyo para saber los módulos que tienen en CDMX. Gracias.
gracias,"Ya se arregló, gracias."
gracias,Gracias por la información. Me fue muy útil.
gracias,"Muchas gracias, ya salí del apuro gracias a y ."
gracias,Gracias. Ya revisé
gracias,Jaja gracias! 👏
gracias,Gracias por la atención
gracias,"Muchas gracias, ya quedó :)"
gracias,Gracias por la atención!
gracias,Gracias ya hable vía telefónica y se resolvió mi inquietud
gracias,"Gracias a por invitarnos a conocer más sobre la colección retro así como los detalles y obsequios ! Mi Tarjeta es la de Anime , acorde para comprar los boletos de cine para la nueva película de rascaldoesnotdream"
gracias,gracias didi por la confianza y incrementar mi línea de crédito a 20k ni y mean ofreciendo tanto crédito gracias solo faltaría los MSI
gracias,"Hola! Gracias, acabo de enviar correo."
gracias,Akamba regresa gracias a Aprovecha la venta PRE Cael presentada por Hey Banco. Disfruta de esta etapa única…
gracias,Gracias ya lo solucione
gracias,Gracias
gracias,gracias 🤩
gracias,Gracias
gracias,los amo! Gracias ya pude entrar a mi App saludos 😆
gracias,"Ahora confirmo, gracias estimado"
gracias,😔 de acuerdo!! Muchas gracias.
muchas,"Muchas gracias, espero su dm"
muchas,Muchas gracias!
muchas,Muchas gracias 😊
muchas,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..
muchas,Muchas gracias!
muchas,Muchas gracias 🙏
muchas,"Pues bueno, me quedé sin cena, muchas gracias 👍"
muchas,Muchas gracias espero la respuesta
muchas,Muchas gracias que amables 😊
muchas,No sé ni a qué le piqué pero muchas gracias😂❤️
muchas,Muchas gracias!
muchas,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo"
muchas,Muchas gracias!
muchas,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii"
muchas,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!"
muchas,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané."
muchas,Muchas gracias 👌👌
muchas,Muchas gracias Un mes gratis de
muchas,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias
muchas,Muchas gracias por la información!
muchas,Muchas gracias
muchas,Ok muchas gracias 😊
muchas,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe"
muchas,"Hola muchas gracias por su respuesta en DM👌, con lo que me indicaron ya logre hacer el movimiento que requeria"
muchas,"me avisan si van a la quiebra, para sacar mi dinero de inversión a 7 días porfas y muchas gracias de antemano los amo ✨❤️‍🔥"
muchas,Muchas gracias!
muchas,"solucionado, muchas gracias 🫶🏼"
muchas,Muchas gracias por la información ahí nos vemos el 3 de Junio
muchas,Muchas graciasQuedo en esperaSaludos.
muchas,Muchas gracias :)
muchas,"Hola Quiero decirles que muchas gracias por el seguimiento a mi problema sobre el Token, ya quedo resuelto Muy buena atención, al final no fue problema de pae suya sino de mi operadora Saludos."
muchas,Muchas gracias!
muchas,Muchas gracias ya me comuniqué y me dieron folio de seguimiento respecto a mi situación y estoy en espera que me revuelva lo antes posible!
muchas,"Bueno, intento más tarde, muchas gracias, Maite!! Un gusto saludae☺️"
muchas,Muchas gracias por su respuesta tan pronta.
muchas,Muchas gracias mando DM a la brevedad
muchas,muchas gracias
muchas,"Excelente, muchas gracias por su sopoe, tío hey. De igual manera quiero agregar que el error ya fue solucionado, y adicional, durante el día recibí un SMS donde me notificaban que debido a una incidencia se mostraba el 5% y que lo estaban trabajando. Nuevamente gracias 🫂"
muchas,Muchas gracias. Voy a comunicarme entonces.
muchas,Excelente muchas gracias
muchas,muchas gracias por su respuesta!
muchas,"hola, excelente tarde, me podrían ayudar con algo. Les mandé DM, por favor, muchas gracias 🙏"
muchas,Ya quedó. Muchas gracias.
muchas,Muchas gracias 🫶
muchas,Muchas gracias nunca me contestó. Afounadamente ya ha quedado resuelto.
muchas,Muchas gracias por el Boleto Dorado ☺️
muchas,Muchas gracias Un mes gratis de
muchas,"Muchas gracias, si lo haré de nuevo un abrazo fuee 🫶"
muchas,Muchas gracias por responder!Acabo de lograr el desbloqueo!
muchas,Listo muchas Gracias
muchas,Muchas gracias
muchas,Muchas gracias
muchas,Muchas gracias! Si entrare para levantar un repoe a
muchas,"Muchas Gracias, ya fue resuelto, gracias por el sopoe. Excelente servicio 👌🏽"
muchas,Muchas gracias por la felicitación 🤗
muchas,Muchas gracias ✨
muchas,"Muchas gracias, Justo llame hace dos días para la aclaración, espero no sea tan tardado y salga bien"
muchas,"Perfecto, estaré atenta. Muchas gracias."
muchas,"Sí me sirvió, muchas gracias 🫶🏽"
muchas,"Buenos días, he gracias por la atención, llame al servicio al cliente y todo bien, ya no aparece así, muchas gracias 👀"
muchas,"Buena noche! En Mayo pedi un ceificado de regalo de amazon con HeyCoins, estaba viendo el estado del pedido y me aparece en Procesando, hay algun estimado de cuando se procesan estos pedidos? Muchas Gracias."
muchas,"esperemos que responda en sinceramente no he tenido problemas con ellos se me hace un buen banco, muchas gracias."
muchas,Enserio! Wow muchas gracia spor la respuesta en unos minutos más termino de abrir mi cuenta
muchas,Muchas gracias
muchas,"Ya quedó solucionado, Muchas gracias"
muchas,Muchas gracias! Le había recomendado a un conocido que antes ellos daban préstamos y ya no salen. Entonces quería sugerirle esa opción. Que amable eres.
muchas,"Creo que es eso, acaba de llegar, muchas gracias"
muchas,"Hola muchas gracias ya les expliqué la situación, les agradezco una respuesta a la brevedad"
muchas,"Muchas gracias, ya les respondí por DM"
muchas,"Muchas gracias, ya lleno los datos. /@heybanco"
muchas,"Hola muchas gracias, ya les contesté vía DM"
muchas,Si me funcionó!!! Muchas gracias
muchas,Muchas gracias Hey! Ya quedó resuelto. 👌👌👌
muchas,"Ya qiedo resuelto, muchas gracias!"
muchas,"Muchas gracias por la información, me sirvió para poder acceder a la aplicación, deberían publicar la solución en sus redes para que otros usuarios puedan solucionarlo"
muchas,Confirmo hoy 19 de septiembre que funciona.. muchas gracias
muchas,"Muchas gracias ahora sí, por mandar la actualización v10.39.2 de la app de Android. La aplicación funciona nuevamente, tras 5 días que estuvo muea para varios de nosotros. Gracias"
muchas,Listo! Muchas gracias! :)
muchas,"Hola, solo para agradecer públicamente la atención recibida en su momento, y mencionar que ya recibí todos los productos solicitado de su tienda de Hey Shop. Muchas gracias."
muchas,"Muchas gracias, los amo. 😭🫶🏽"
muchas,Muchas gracias
muchas,Muchas gracias 🥰
muchas,INVEX!! El acelerador conviene muchísimo si le gastas de 10k para arriba al mes. Este año llevo como 4 mil en vuelos y muchas tarjetitas de uber y starbies.
muchas,Muy amables muchas gracias.
muchas,Listo ya quedó muchas gracias.
muchas,Muchas gracias
muchas,"Muchas gracias, ya salí del apuro gracias a y ."
muchas,"Muchas gracias, ya quedó :)"
muchas,😔 de acuerdo!! Muchas gracias.
heybanco,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio."
heybanco,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito"
heybanco,"Increíble, gracias HeyBanco!!@heybanco"
heybanco,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*
heybanco,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES."
heybanco,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco."
heybanco,Excelente servicio de atención a clientes en HeyBanco 10/10
heybanco,.@heybanco tqm 🫶 no solo es de los mejores bancos con su producto TDC o pagarés bancarios (inveir). Además sabe que ando de foráneo y me regalo dinerito en Amazon 😌con mi boleto dorado
heybanco,Mucho exito! heybanco
heybanco,"Cámbiate a HeyBanco, hasta el momento es la mejor que he probado. Te dan 2% de todo lo que gastas, y es dinero gratis si eres como yo que siempre paga a tiempo y nunca paga intereses."
heybanco,"también agradezco mucho a las personas que han querido hacer donaciones para el vestuario, sin duda lo agradezco y aprecio enormemente; si ustedes gustan donar algo pueden hacerlo a la clabe 058597000024431851 en HeyBanco a nombre de Noris Vargas G. (Sin embargo también pueden"
heybanco,"Te cuento lo que hice Yo tampoco tenía Historial pero tenía la de Nubank y hasta ahí todo bien, posterior fui con Heybanco, y realmente no interesaba usar su tarjeta.Pero vi que tenía un pagare y me interesóMe registre a la cuenta, no solicite plástico ni nada"
heybanco,"5/ Seguramente veremos a y dando más noticias de innovación y servicios, pero sobre todo generando más competencia en la industria financiera, lo cual beneficia a todos los usuarios.BancaDigital NuMéxico HeyBanco Innovación CompetenciaFinanciera Fintech"
heybanco,"Uno de los productos más esperados del año!!!! En YouTube ya tenemos el unboxing, activación y pequeña navegación por el app de la tarjeta metálica de ! Les compao el link del video: TarjetaDeCrédito HeyBanco"
heybanco,Me encanta que HeyBanco ya te manda notificación cuando se hace el cobro 🤙🏼
heybanco,Me gusta heybanco para bajarles el mandado a los bancos españoles que dominan este país
heybanco,yo presumiendo el 10% anual de HeyBanco y que Klar decide sacar 14%… muy tentador
heybanco,Yo fui muy feliz por muchos años con la Santander Free hasta que me cambié a HeyBanco y su tarjeta me pareció una chulada. Recomiendo ampliamente.
heybanco,AMO heybanco bien cabron. Jaja
heybanco,"Ps.... su aplicación es la mejor, he visto HSBC y Banamex y nel. ¿qué tal la de HeyBanco, la has probado?"
heybanco,"ay suena súper bien, justo lo que me anda gustando mucho ahorita de nu es su pae de hacer crecer tu dinero jajk o sea la inversión, quiero entrarle más al tema👀 la más fan de los neobanks, definitivamente cuando por fin mande alv a banamex me abriré una de heybanco 🤓🩷"
heybanco,"Que sean tan fácil de usar y sobre todo confiables como heybanco, cuales?"
heybanco,El mejor banco es HeyBanco por mucha diferencia nk
heybanco,"Sí, tengo distintas cuentas y siempre me han apoyado cuando llega a pasar algo. Hasta ahora HeyBanco y BBVA han sido mis mejores experiencias"
heybanco,Recomiendo HeyBanco
